Symbol,NAME OF COMPANY,ListingDate
20MICRONS,20 Microns Limited,2008-10-06
21STCENMGM,21st Century Management Services Limited,1995-05-03
360ONE,360 ONE WAM LIMITED,2019-09-19
3BBLACKBIO,3B Blackbio Dx Limited,2026-04-20
3IINFOLTD,3i Infotech Limited,2021-10-22
3MINDIA,3M India Limited,2004-08-13
3PLAND,3P Land Holdings Limited,1995-07-19
5PAISA,5Paisa Capital Limited,2017-11-16
63MOONS,63 moons technologies limited,2005-06-20
A2ZINFRA,A2Z Infra Engineering Limited,2010-12-23
AAATECH,AAA Technologies Limited,2022-11-28
AADHARHFC,Aadhar Housing Finance Limited,2024-05-15
AAKASH,Aakash Exploration Services Limited,2020-09-29
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2021-08-06
AARNAV,Aarnav Fashions Limited,2026-02-25
AARON,Aaron Industries Limited,2020-11-06
AARTECH,Aartech Solonics Limited,2023-07-10
AARTIDRUGS,Aarti Drugs Limited,2003-09-19
AARTIIND,Aarti Industries Limited,1995-02-08
AARTIPHARM,Aarti Pharmalabs Limited,2023-01-30
AARTISURF,Aarti Surfactants Limited,2020-07-14
AARVI,Aarvi Encon Limited,2020-06-24
AAVAS,Aavas Financiers Limited,2018-10-08
ABANSENT,Abans Enterprises Limited,2026-04-20
ABB,ABB India Limited,1995-02-08
ABBOTINDIA,Abbott India Limited,2010-01-08
ABCAPITAL,Aditya Birla Capital Limited,2017-09-01
ABCOTS,A B Cotspin India Limited,2025-09-24
ABDL,Allied Blenders and Distillers Limited,2024-07-02
ABFRL,Aditya Birla Fashion and Retail Limited,2013-07-17
ABINFRA,A B Infrabuild Limited,2024-11-08
ABLBL,Aditya Birla Lifestyle Brands Limited,2025-06-23
ABMINTLLTD,ABM International Limited,2021-09-09
ABMKNO,ABM Knowledgeware Limited,2026-04-20
ABREL,Aditya Birla Real Estate Limited,2003-06-27
ABSLAMC,Aditya Birla Sun Life AMC Limited,2021-10-11
ACC,ACC Limited,1996-11-20
ACCELYA,Accelya Solutions India Limited,1999-12-01
ACCURACY,Accuracy Shipping Limited,2020-12-11
ACE,Action Construction Equipment Limited,2006-09-26
ACEINTEG,Ace Integrated Solutions Limited,2022-11-04
ACI,Archean Chemical Industries Limited,2022-11-21
ACL,Andhra Cements Limited,2023-05-10
ACMESOLAR,Acme Solar Holdings Limited,2024-11-13
ACSTECH,ACS Technologies Limited,2026-04-20
ACUTAAS,Acutaas Chemicals Limited,2021-09-14
ADANIENSOL,Adani Energy Solutions Limited,2015-07-31
ADANIENT,Adani Enterprises Limited,1997-06-04
ADANIGREEN,Adani Green Energy Limited,2018-06-18
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2007-11-27
ADANIPOWER,Adani Power Limited,2009-08-20
ADFFOODS,ADF Foods Limited,2010-09-15
ADL,Archidply Decor Limited,2020-10-01
ADOR,Ador Welding Limited,1995-05-10
ADROITINFO,Adroit Infotech Limited,1997-08-13
ADSL,Allied Digital Services Limited,2007-07-25
ADVAIT,Advait Energy Transitions Limited,2026-01-20
ADVANCE,Advance Agrolife Limited,2025-10-08
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,2007-06-25
ADVENTHTL,Advent Hotels International Limited,2025-11-13
ADVENZYMES,Advanced Enzyme Technologies Limited,2016-08-01
AEGISLOG,Aegis Logistics Limited,1996-04-03
AEGISVOPAK,Aegis Vopak Terminals Limited,2025-06-02
AEPL,Artemis Electricals and Projects Limited,2026-03-12
AEQUS,Aequs Limited,2025-12-10
AEROENTER,Aeroflex Enterprises Limited,2022-11-21
AEROFLEX,Aeroflex Industries Limited,2023-08-31
AERONEU,Aeroflex Neu Limited,2023-01-12
AETHER,Aether Industries Limited,2022-06-03
AFCONS,Afcons Infrastructure Limited,2024-11-04
AFFLE,Affle 3i Limited,2019-08-08
AFFORDABLE,Affordable Robotic & Automation Limited,2024-10-23
AFIL,Akme Fintrade (India) Limited,2024-06-26
AFSL,Abans Financial Services Limited,2022-12-23
AGARIND,Agarwal Industrial Corporation Limited,2014-05-26
AGARWALEYE,Dr. Agarwal's Health Care Limited,2025-02-04
AGI,AGI Greenpac Limited,2000-05-31
AGIIL,Agi Infra Limited,2024-07-15
AGRITECH,Agri-Tech (India) Limited,2014-01-28
AGROPHOS,Agro Phos India Limited,2019-03-08
AHCL,Anlon Healthcare Limited,2025-09-03
AHLADA,Ahlada Engineers Limited,2021-01-28
AHLEAST,Asian Hotels (East) Limited,2010-08-11
AHLUCONT,Ahluwalia Contracts (India) Limited,2009-12-14
AHLWEST,Asian Hotels (West) Limited,2010-08-05
AIAENG,AIA Engineering Limited,2005-12-14
AIIL,Authum Investment & Infrastructure Limited,2024-04-23
AIRAN,Airan Limited,2019-05-03
AIROLAM,Airo Lam limited,2021-10-13
AJANTPHARM,Ajanta Pharma Limited,2000-05-29
AJAXENGG,Ajax Engineering Limited,2025-02-17
AJMERA,Ajmera Realty & Infra India Limited,2009-06-16
AJOONI,Ajooni Biotech Limited,2021-05-07
AKASH,Akash Infra-Projects Limited,2019-10-11
AKCAPIT,AK Capital Services Limited,2026-04-20
AKG,Akg Exim Limited,2021-02-16
AKI,AKI India Limited,2023-04-06
AKSHAR,Akshar Spintex Limited,2022-05-23
AKSHARCHEM,AksharChem India Limited,2017-03-28
AKSHOPTFBR,Aksh Optifibre Limited,2000-08-18
AKUMS,Akums Drugs and Pharmaceuticals Limited,2024-08-06
ALANKIT,Alankit Limited,2015-06-30
ALBERTDAVD,Albert David Limited,2016-06-14
ALEMBICLTD,Alembic Limited,1999-09-22
ALGOQUANT,Algoquant Fintech Limited,2026-01-06
ALICON,Alicon Castalloy Limited,2006-09-29
ALIVUS,Alivus Life Sciences Limited,2021-08-06
ALKALI,Alkali Metals Limited,2008-11-06
ALKEM,Alkem Laboratories Limited,2015-12-23
ALKYLAMINE,Alkyl Amines Chemicals Limited,2007-11-26
ALLCARGO,Allcargo Logistics Limited,2006-06-23
ALLDIGI,Alldigi Tech Limited,2005-05-09
ALLTIME,All Time Plastics Limited,2025-08-14
ALMONDZ,Almondz Global Securities Limited,2008-06-16
ALOKINDS,Alok Industries Limited,2020-02-19
ALPA,Alpa Laboratories Limited,2007-08-06
ALPHAGEO,Alphageo (India) Limited,2007-05-11
AMAGI,Amagi Media Labs Limited,2026-01-21
AMANTA,Amanta Healthcare Limited,2025-09-09
AMBALALSA,Ambalal Sarabhai Enterprises Limited,2026-04-20
AMBER,Amber Enterprises India Limited,2018-01-30
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,2004-06-29
AMBIKCO,Ambika Cotton Mills Limited,2008-01-29
AMBUJACEM,Ambuja Cements Limited,1998-02-18
AMDIND,AMD Industries Limited,2007-03-19
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,2026-04-02
AMJLAND,Amj Land Holdings Limited,1995-02-08
AMNPLST,Amines & Plasticizers Limited,2023-11-10
AMRUTANJAN,Amrutanjan Health Care Limited,2015-01-02
ANANDRATHI,Anand Rathi Wealth Limited,2021-12-14
ANANTRAJ,Anant Raj Limited,2006-09-27
ANDHRAPAP,ANDHRA PAPER LIMITED,2004-05-13
ANDHRSUGAR,The Andhra Sugars Limited,1995-11-01
ANGELONE,Angel One Limited,2020-10-05
ANIKINDS,Anik Industries Limited,2008-05-21
ANKITMETAL,Ankit Metal & Power Limited,2013-03-14
ANMOL,Anmol India Limited,2021-06-04
ANSALAPI,Ansal Properties & Infrastructure Limited,2006-01-27
ANTELOPUS,Antelopus Selan Energy Limited,2006-09-26
ANTGRAPHIC,Antarctica Limited,1997-12-31
ANTHEM,Anthem Biosciences Limited,2025-07-21
ANUHPHR,Anuh Pharma Limited,2024-12-20
ANUP,The Anup Engineering Limited,2019-03-01
ANURAS,Anupam Rasayan India Limited,2021-03-24
APARINDS,Apar Industries Limited,2004-07-12
APCL,Anjani Portland Cement Limited,2017-04-10
APCOTEXIND,Apcotex Industries Limited,1995-09-06
APEX,Apex Frozen Foods Limited,2017-09-04
APLAPOLLO,APL Apollo Tubes Limited,2011-12-14
APLLTD,Alembic Pharmaceuticals Limited,2011-09-20
APOLLO,Apollo Micro Systems Limited,2018-01-22
APOLLOHOSP,Apollo Hospitals Enterprise Limited,1996-01-10
APOLLOPIPE,Apollo Pipes Limited,2019-11-11
APOLLOTYRE,Apollo Tyres Limited,1995-05-31
APOLSINHOT,Apollo Sindoori Hotels Limited,2015-01-28
APTECHT,Aptech Limited,2002-09-27
APTUS,Aptus Value Housing Finance India Limited,2021-08-24
AQYLON,Aqylon Nexus Limited,2024-04-01
ARCHIDPLY,Archidply Industries Limited,2008-07-04
ARCHIES,Archies Limited,1998-09-02
ARE&M,Amara Raja Energy & Mobility Limited,2003-09-05
ARENTERP,Rajdarshan Industries Limited,1995-10-18
ARFIN,Arfin India Limited,2025-07-22
ARIES,Aries Agro Limited,2008-01-11
ARIHANT,Arihant Foundations & Housing Limited,2026-04-20
ARIHANTCAP,Arihant Capital Markets Limited,2021-06-15
ARIHANTSUP,Arihant Superstructures Limited,2017-03-28
ARIS,Arisinfra Solutions Limited,2025-06-25
ARKADE,Arkade Developers Limited,2024-09-24
ARMANFIN,Arman Financial Services Limited,2016-06-14
AROGRANITE,Aro Granite Industries Limited,2007-04-24
ARROWGREEN,Arrow Greentech Limited,2015-05-21
ARSHIYA,Arshiya Limited,2009-12-14
ARSSBL,Anand Rathi Share and Stock Brokers Limited,2025-09-30
ARTEMISMED,Artemis Medicare Services Limited,2020-01-23
ARTNIRMAN,Art Nirman Limited,2021-10-18
ARVEE,Arvee Laboratories (India) Limited,2021-03-22
ARVIND,Arvind Limited,1995-02-08
ARVINDFASN,Arvind Fashions Limited,2019-03-08
ARVSMART,Arvind SmartSpaces Limited,2015-08-26
ASAHIINDIA,Asahi India Glass Limited,1998-03-18
