Lookback,PortSize,CAGR (%),Sharpe,Sortino,Calmar,Max Drawdown (%),Turnover_%mo
3M,10,37.22,1.11,1.42,0.64,-57.8,59.1
3M,20,35.42,1.16,1.42,0.72,-49.14,54.5
3M,30,35.55,1.22,1.45,0.78,-45.79,51.0
3M,50,34.58,1.26,1.44,0.78,-44.55,46.5
6M,10,41.84,1.24,1.62,0.98,-42.67,43.3
6M,20,44.9,1.45,1.78,1.24,-36.08,38.1
6M,30,41.17,1.41,1.67,1.13,-36.51,34.8
6M,50,38.09,1.38,1.6,1.01,-37.89,31.5
9M,10,45.85,1.35,1.8,1.38,-33.15,35.1
9M,20,43.23,1.41,1.72,1.15,-37.69,30.8
9M,30,43.26,1.47,1.74,1.15,-37.71,28.5
9M,50,38.18,1.38,1.59,1.02,-37.5,25.2
12M,10,41.46,1.25,1.63,0.88,-46.87,31.8
12M,20,45.26,1.48,1.81,1.16,-39.07,28.4
12M,30,41.1,1.41,1.68,1.06,-38.78,25.6
12M,50,40.2,1.45,1.68,1.03,-38.9,21.7
18M,10,42.37,1.31,1.7,0.76,-55.99,26.7
18M,20,41.69,1.4,1.72,0.96,-43.58,23.1
18M,30,39.94,1.39,1.67,1.0,-39.78,20.2
18M,50,34.67,1.26,1.46,0.9,-38.62,17.5
