Lookback,Skip,CAGR (%),Sharpe,Sortino,Max Drawdown (%),Turnover_%mo
3M,0,36.69,1.18,1.45,-47.83,55.4
3M,1M,35.42,1.16,1.42,-49.14,54.5
3M,2M,39.2,1.29,1.56,-41.8,55.0
6M,0,40.92,1.31,1.57,-39.36,38.4
6M,1M,44.9,1.45,1.78,-36.08,38.1
6M,2M,44.11,1.43,1.77,-35.45,38.5
9M,0,39.82,1.3,1.58,-34.94,31.0
9M,1M,43.23,1.41,1.72,-37.69,30.8
9M,2M,41.44,1.36,1.69,-37.92,31.2
12M,0,40.81,1.33,1.59,-47.03,27.4
12M,1M,45.26,1.48,1.81,-39.07,28.4
12M,2M,39.22,1.3,1.59,-45.18,28.4
18M,0,39.42,1.33,1.62,-46.37,22.8
18M,1M,41.69,1.4,1.72,-43.58,23.1
18M,2M,38.87,1.31,1.61,-50.32,23.4
