Risk,Cost_bps,CAGR (%),Sharpe,Sortino,Max Drawdown (%),Turnover_%mo
none,10,44.26,1.45,1.77,-40.05,28.4
none,25,42.77,1.41,1.72,-41.48,28.4
none,50,40.31,1.33,1.63,-43.79,28.4
atr,10,42.9,1.46,1.76,-39.34,36.3
atr,25,41.02,1.4,1.69,-41.0,36.3
atr,50,37.93,1.3,1.57,-43.67,36.3
dma200,10,39.13,1.26,1.55,-41.89,30.2
dma200,25,37.6,1.22,1.49,-43.41,30.2
dma200,50,35.09,1.14,1.4,-45.87,30.2
voltarget,10,29.09,1.32,1.68,-23.99,28.4
voltarget,25,27.77,1.25,1.6,-25.77,28.4
voltarget,50,25.59,1.14,1.46,-28.71,28.4
