Label,CAGR (%),Ann. Return (%),Ann. Vol (%),Sharpe,Sortino,Calmar,Max Drawdown (%),Win Rate (%),Best Month (%),Worst Month (%),Avg Up Month (%),Avg Dn Month (%),N Days,N Years,mom_weight,top_n,Turnover (% /mo)
MOM0_N10,19.43,18.98,15.55,0.85,1.06,0.43,-45.33,63.6,17.42,-31.18,4.61,-3.63,4069,16.1,0.0,10,87.4
MOM0_N15,18.29,17.92,14.93,0.81,1.0,0.41,-45.08,63.1,20.78,-31.18,4.62,-3.74,4069,16.1,0.0,15,84.2
MOM0_N20,20.46,19.66,14.4,0.96,1.19,0.49,-41.52,66.2,24.73,-27.97,4.52,-3.88,4069,16.1,0.0,20,81.8
MOM0_N25,21.46,20.46,14.2,1.03,1.28,0.54,-39.77,66.2,22.74,-27.39,4.54,-3.73,4069,16.1,0.0,25,79.6
MOM0_N30,21.56,20.52,14.03,1.05,1.3,0.54,-39.86,66.7,21.13,-28.53,4.48,-3.72,4069,16.1,0.0,30,77.0
MOM10_N10,22.17,21.25,15.56,0.99,1.27,0.53,-42.08,69.9,12.83,-30.36,4.29,-4.04,4030,16.0,0.1,10,88.8
MOM10_N15,22.6,21.47,14.67,1.07,1.35,0.55,-41.15,68.4,15.0,-28.91,4.34,-3.66,4030,16.0,0.1,15,85.6
MOM10_N20,22.82,21.6,14.34,1.1,1.35,0.55,-41.17,71.9,17.23,-28.82,4.2,-4.26,4030,16.0,0.1,20,82.7
MOM10_N25,21.94,20.85,14.15,1.06,1.3,0.54,-40.87,67.9,17.23,-28.11,4.42,-3.84,4030,16.0,0.1,25,80.6
MOM10_N30,22.15,21.01,14.04,1.08,1.33,0.56,-39.83,67.9,17.88,-26.7,4.41,-3.78,4030,16.0,0.1,30,78.3
MOM20_N10,25.1,23.78,16.54,1.09,1.39,0.62,-40.48,70.4,15.29,-30.19,4.51,-4.03,4030,16.0,0.2,10,87.3
MOM20_N15,25.6,23.99,15.36,1.18,1.47,0.65,-39.5,68.4,15.27,-28.41,4.59,-3.56,4030,16.0,0.2,15,84.9
MOM20_N20,25.33,23.69,14.8,1.21,1.49,0.66,-38.19,68.9,16.45,-26.21,4.51,-3.61,4030,16.0,0.2,20,82.1
MOM20_N25,23.79,22.41,14.51,1.14,1.4,0.65,-36.85,68.4,16.42,-25.33,4.42,-3.62,4030,16.0,0.2,25,80.0
MOM20_N30,23.74,22.34,14.32,1.15,1.42,0.65,-36.79,67.3,16.59,-24.92,4.47,-3.46,4030,16.0,0.2,30,78.2
MOM30_N10,27.64,25.94,17.42,1.15,1.47,0.7,-39.43,70.9,16.14,-31.3,4.81,-4.24,4030,16.0,0.3,10,87.3
MOM30_N15,25.81,24.27,16.07,1.15,1.41,0.67,-38.51,70.4,14.68,-28.4,4.56,-3.98,4030,16.0,0.3,15,83.8
MOM30_N20,27.28,25.36,15.57,1.25,1.52,0.72,-37.8,71.4,16.25,-25.95,4.57,-4.0,4030,16.0,0.3,20,80.8
MOM30_N25,26.39,24.6,15.22,1.23,1.51,0.74,-35.9,66.8,16.57,-24.83,4.79,-3.43,4030,16.0,0.3,25,78.4
MOM30_N30,25.64,23.95,14.88,1.22,1.5,0.74,-34.5,68.4,16.57,-23.55,4.54,-3.48,4030,16.0,0.3,30,75.7
MOM40_N10,26.45,25.15,18.22,1.06,1.32,0.67,-39.74,70.9,18.95,-25.81,4.75,-4.39,4030,16.0,0.4,10,85.8
MOM40_N15,28.34,26.38,16.78,1.22,1.51,0.76,-37.07,70.4,20.73,-26.27,4.88,-4.14,4030,16.0,0.4,15,82.9
