Symbol,Company Name,Industry,ListingDate
360ONE,360 ONE WAM Ltd.,Financial Services,2019-09-19
3MINDIA,3M India Ltd.,Diversified,2004-08-13
ABB,ABB India Ltd.,Capital Goods,1995-02-08
ACC,ACC Ltd.,Construction Materials,1996-11-20
ACMESOLAR,ACME Solar Holdings Ltd.,Power,2024-11-13
AIAENG,AIA Engineering Ltd.,Capital Goods,2005-12-14
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,2011-12-14
AUBANK,AU Small Finance Bank Ltd.,Financial Services,2017-07-10
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,2022-02-08
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,2024-05-15
AARTIIND,Aarti Industries Ltd.,Chemicals,1995-02-08
AAVAS,Aavas Financiers Ltd.,Financial Services,2018-10-08
ABBOTINDIA,Abbott India Ltd.,Healthcare,2010-01-08
ACE,Action Construction Equipment Ltd.,Capital Goods,2006-09-26
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,2021-09-14
ADANIENSOL,Adani Energy Solutions Ltd.,Power,2015-07-31
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,1997-06-04
ADANIGREEN,Adani Green Energy Ltd.,Power,2018-06-18
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,2007-11-27
ADANIPOWER,Adani Power Ltd.,Power,2009-08-20
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,2018-11-05
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,2017-09-01
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,2013-07-17
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,2025-06-23
ABREL,Aditya Birla Real Estate Ltd.,Realty,2003-06-27
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,2021-10-11
CPPLUS,Aditya Infotech Ltd.,Capital Goods,2025-08-05
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,1996-04-03
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,2025-06-02
AFCONS,Afcons Infrastructure Ltd.,Construction,2024-11-04
AFFLE,Affle 3i Ltd.,Information Technology,2019-08-08
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,2000-05-29
ALKEM,Alkem Laboratories Ltd.,Healthcare,2015-12-23
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,2024-07-02
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,2003-09-05
AMBER,Amber Enterprises India Ltd.,Consumer Durables,2018-01-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,1998-02-18
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,2021-12-14
ANANTRAJ,Anant Raj Ltd.,Realty,2006-09-27
ANGELONE,Angel One Ltd.,Financial Services,2020-10-05
ANTHEM,Anthem Biosciences Ltd.,Healthcare,2025-07-21
ANURAS,Anupam Rasayan India Ltd.,Chemicals,2021-03-24
APARINDS,Apar Industries Ltd.,Capital Goods,2004-07-12
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,1996-01-10
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,1995-05-31
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,2021-08-24
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,1998-03-18
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,1995-05-25
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,1995-05-31
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,2018-02-26
ASTRAL,Astral Ltd.,Capital Goods,2007-03-20
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,2025-05-06
